	review	emotion
0	Sum1 said this would be huge one day...smart guy	neutral
1	@Rorzshach Oh no  -hugs-	sadness
2	@biankuh no, im a people pleaser	neutral
3	@player112345 Good Morrow! How are you this fair morn?	worry
4	Darts and lunch at Horse Brass... but no beer for me  http://bmap.us/2134	worry
5	@whatabout_ken that sucks  If only I was there to hang out.	worry
6	@BuffaloLass87 I'm so sorry  do you want me to call? If not I will be on aim in a couple of hours if you need to vent	sadness
7	@jambonboy good stuff, thanks	love
8	productive day 1	neutral
9	@Tatylicious Hey chick!  When are we going to JA to pick up some hot guys and eat Jerk pork and festival? Well you already have a hot guy	happiness
10	Ok. So I'm not moving, someone else took the apt I wanted  at least now I can work on organizing my stuff	worry
11	ofcourse they start fightin aight the party buts its cool theyu held it down now im chillin with my home girl  HAPPY MOTHERS DAY	love
12	Waiting for the bus. The bus is going to be uncomfortably hot I bet	worry
13	@PRGabbi AWW thanks hopefully it is	love
14	Good morning my fellow tweeters	neutral
15	imm tired of callin @mitchelmusso &amp;&amp; hearin other convos  i wanaa call himm!!	worry
16	Reading and taking notes but undertanding none of it  ... HELP!	worry
17	my sensors don't seem to want to last for more than 3 1/2 days	neutral
18	@jordandroid It's Star Wars day?! Urgh I'm gonna have to get the videos out	worry
19	Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now	neutral
20	@Merlene Cool! You're in the 5-figure-Tweeter Club.	happiness
21	@sleepydumpling yeah I'm fine not to raid most things. Excepting liquor and cheese &amp; bacon balls	neutral
22	@CarmelaMarie I'm okay. Ima go to the park and play some ball. Not in the best of moods. Got stress to relieve.	worry
23	the tip of my finger hurts  lmao	sadness
24	@tourbytaxi Just visited your site. Hope that helped!	neutral
25	@Sophhs &amp; i are lucas till &amp; david henrie lovers. both boys are very cute  but @Sophhs you can have lucas &amp; ill have henrie  DEAL	love
26	I have seen Star Trek, so now you guys can't spoil it  If you haven't seen it, Go. Go now.	happiness
27	@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you good luck	love
