Text,topics/keywords,review/opinion/feedback
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",I,"[ok, medicines, papers, what]"
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",doctor,"[ok, medicines, papers, what]"
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",I,"[ok, medicines, papers, what]"
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",doctor,"[ok, medicines, papers, what]"
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",I,"[ok, medicines, papers, what]"
after confirming with the nurse what pharmacy to call my meds to the nurse still called the meds to the wrong pharmacy.,pharmacy,"[what, meds]"
"After discussing the issues with the nurse (male nurse), the nurse said the nurse would make his report and give to the doctor.",nurse,[report]
"After discussing the issues with the nurse (male nurse), the nurse said the nurse would make his report and give to the doctor.",nurse,[report]
"After follow up with primary pedi, primary pedi stated a blood test should have been done.",pedi,[]
"After getting all my information, the doctor was kind enough to ask if I would like something to drink.",doctor,[something]
"After getting all my information, the doctor was kind enough to ask if I would like something to drink.",I,[something]
"again, blonde nurse in pediatric er was fantastic the nurse thoroughly explained everything to us.",nurse,"[fantastic, everything]"
"again, blonde nurse in pediatric er was fantastic the nurse thoroughly explained everything to us.",nurse,"[fantastic, everything]"
again I can't say enough everyone was great my son had never had a IV and the staff were so gentle with him,I,"[enough, great, IV, gentle]"
again I can't say enough everyone was great my son had never had a IV and the staff were so gentle with him,everyone,"[enough, great, IV, gentle]"
again I can't say enough everyone was great my son had never had a IV and the staff were so gentle with him,son,"[enough, great, IV, gentle]"
again I can't say enough everyone was great my son had never had a IV and the staff were so gentle with him,staff,"[enough, great, IV, gentle]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",you,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",she,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",I,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",Pekof,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",I,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",I,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",I,"[name, Pekof, nose, what]"
Again the doctor was professional and courteous,doctor,[professional]
"again, the doctor was THE VERY BEST",doctor,"[BEST, BEST]"
"again, the doctor was THE VERY BEST",THE,"[BEST, BEST]"
again the doctor was very professional.,doctor,[professional]
again the doctor was very professional and courteous,doctor,[professional]
"Again the doctor was very,very Professional",doctor,[Professional]
"All bad, the doctor spoke down to me, offered me ultimatums when using certain medications, she was talking down to me like a child.",doctor,[bad]
"All bad, the doctor spoke down to me, offered me ultimatums when using certain medications, she was talking down to me like a child.",she,[bad]
Allie is very friendly and professional.,Allie,[friendly]
all staff showed concern for me as a person.,staff,[concern]
all staff were courteous,staff,[courteous]
All staff were courteous and efficient.,staff,[courteous]
"All through the time I was there APNP Kristina Krogstad kept that attitude and made me laugh, if she is this way with All her patients, especially children, then the rest of the staff should learn her way of treating patients",I,"[Krogstad, way, way]"
