review,emotion
@gfalcone601 that little girl on BGT! how sad! i cried  lol xxxxxxxxxxxxxxxxxxx,sadness
Today I wrote two songs (one for temple which I will probably never perform ever) and one for mothers day. Happy vesak everyone  rena xoxo,worry
Have 3 of the 5 grandbabies again today. 19 month old twins and a 3 1/2 month infant. I love every minute of it too.,love
on my way to driver's training,neutral
"@rmolden Yes, maybe, but for today, I write",neutral
"@funhiguy Hi man, yeah I so wanna go, but I'm on Maui  #liloven",worry
@domsmitherz what was said?,worry
Bah! Still at work. Lol my feet hurt and my nose won't stop running!,worry
"i thought ur account @DavidArchie was fake. but, it's true, sorry david!",sadness
2pm today is Quiz Time at the Goat! Game shows to play and prizes to be won! Plus 'Toss Off Tommy' for free drinks! Today from 2! x,neutral
wants to buy really red* lipstick. But I won't wear it that often,worry
@BamaBlockhead No.. $16 is a good price considering WHO you are going to see!    Right?,neutral
@JanisJ1212 haven't laughed that much in awhile,worry
@RobCairns My pleasure.  Hear Kelli has new project!   #followfriday,neutral
@MrsWilliams @Timperator fï¿½hlt sich ganz so an #montezuma #iphone,neutral
@MSMyPhone I need a code,neutral
wants TFA back.  http://plurk.com/p/x2rgl,neutral
@Fresh_and_Easy when will these stores in Sacramento open? Been waiting and nothing,worry
So now we'll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,worry
Coco still out,neutral
WOW i just drank a drink of water - 12 ice cubes that took ages to melt. i now have brian freeze,happiness
"Woop, have just bought the Elliot Minor album on itunes. Its finally working for me!!",neutral
loves it when mom and dad come to visit! nothin better,love
hmm icecream for breakfast  #springtime,neutral
@NMaize Lucky Rob... always gettin' the T8's from Emalon,neutral
@serenajwilliams Hi Serena just want to say good luck in Madrid and Paris this month,sadness
@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.,neutral
A little 3 mile run done!  22.5 minutes...  I'm exhausted!  Not impressed with the HRM...,sadness
finally leaving this place! woohoo! school time!,worry
lol if i only can sTay up a few more hours.. i keep missing Tila's lasT posTs ..,worry
I Love the lady from the Progressive commercials she's so funny,love
"ooh@LuLu_Bell whatchu goin as? Monsterpalooza's this weekend for us.  on the no Ink, i won't be a stressed contestant this year! Miss U X0",worry
With my jordie for a little bit,sadness
yay mothers day  i love mi madre,love
"Lookin for work via online, watchin ShayCarl's latest vlog entry on youtube and textin a lady friend.  My beds calling my name though..",happiness
@Marcyluvstravel omg! I dont blame you! hope you didnt hurt him too bad,worry
Wish someone would by my 90mm Mamiya MF lens. Needs the money,neutral
I miss my daily quotes! Why don't i get them anymore? @sschabowski am I kicked from your mailinglist?,worry
"@cocoacast I need to move to NY, SanFran, or Seattle to get worth-a-crap internet speeds",sadness
Father is staying home and conference calling. Sorry @Sparklegirl21,worry
"As old as the answer to the ultimate question of life, the universe &amp; everything. That's 42, for all the non-Hitchikers Guide fans",worry
"@ RyanSeacrest : hi there might be a problem as it says no stream online, wat's not right?",sadness
"@mileycyrus I'd love to, but i'm all the way in India.",sadness
@ Kosme -&gt; careful or you're going to be like me; updating websites and such on a Friday night,neutral
paathra ....khandvi....kamanee    ...watte sunday mrng,neutral
Nic has no idea what he's going to do!  money is all gone!,neutral
